Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Bulgaria;BGR;20632090909;10943548387;10350515464;10829710145;9697416974;13063422619;10109404160;11195630537;14630974778;13495062850;13148099185;14135393876;16360346654;21074775206;26094622564;29821662537;34304448150;44765733380;54409138498;51884481410;50610031136;57418391042;53903028252;55758744571;56732006512;50199117547;53237882473
Bahrain;BHR;4229787234;4616223404;4751063830;5200265957;5567553457;5849467819;6101861436;6349202394;6183776596;6621010372;9062906915;8976207713;9632155053;11074822074;13150166755;15968726862;18505053191;21730000000;25710877660;22938218085;25713271277;28776595745;30749308511;32539547872;33387712766;31125851064;32179069149
Bahamas, The;BHS;3166000000;3111160000;3109000000;3092000000;3259000000;3429000000;3609000000;4961119000;5353524000;6019972000;6327552000;6516651000;6957996000;6949317000;7094413000;7706222000;7965588000;8318996000;8247000000;7820000000;7910000000;7890000000;10720500000;10677200000;10843800000;11240000000;11261800000
Bosnia and Herzegovina;BIH;;;;;1255802469;1866572954;2786045322;3671816504;4116699437;4685729739;5505984456;5748990666;6651226179;8370020196;10022840635;11225138297;12866524918;15776422673;19112739664;17613836210;17176781337;18644723861;17226849297;18178503835;18558343508;16209702864;16910277134
Belarus;BLR;21650000000;17420000000;17120370370;16286280992;14932192011;13972630804;14756861538;14128412417;15222014828;12138485329;12736856828;12354820144;14594925393;17825436035;23141587718;30210091837;36961821894;45275747861;60763483146;49209523810;57222490769;61757788945;65685102555;75527984234;78813839984;56454734397;47407217531
Belize;BLZ;413050000;444720750;518239100;559858250;580863700;620140400;641383800;654314350;688992450;732732350;832072450;871860600;932551850;990374050;1057845500;1114222550;1217467600;1290573400;1368625150;1336957250;1397113450;1486712300;1573618750;1613705850;1706497950;1742545900;1741100000
Bermuda;BMU;1592400000;1634899968;1679900032;1820359936;1867160064;2030749952;2695390000;2932827000;3130748000;3324433000;3480219000;3680483000;3937228000;4186525000;4484703000;4868136000;5414299000;5895048000;6109928000;5806378000;5744414000;5550771000;5537537000;5573710000;;;
Bolivia;BOL;4867582620;5343274312;5643893347;5734676561;5981244887;6715220507;7396966657;7925673448;8497545598;8285075872;8397912509;8141537938;7905485216;8082364868;8773451739;9549077869;11451869165;13120159976;16674324634;17339992165;19649631308;23963033444;27084497540;30659338929;32996187988;33000198263;33806395514
Brazil;BRA;4,61952E+11;6,0286E+11;4,00599E+11;4,37799E+11;5,58112E+11;7,85643E+11;8,50426E+11;8,83199E+11;8,63723E+11;5,99389E+11;6,55421E+11;5,59373E+11;5,07963E+11;5,5832E+11;6,69316E+11;8,9163E+11;1,10764E+12;1,39708E+12;1,69582E+12;1,66702E+12;2,20887E+12;2,6162E+12;2,46519E+12;2,47281E+12;2,45599E+12;1,80365E+12;1,79619E+12
Barbados;BRB;2023318252;2007109829;1950900000;2046189032;2151295182;2261969870;2411872918;2549296475;2874459305;3012081738;3121500000;3116650000;3169600000;3274850000;3514350000;3897300000;4246600000;4523750000;4607300000;4434050000;4461650000;4660900000;4656350000;4612500000;4608350000;4584150000;4529050000
Brunei Darussalam;BRN;3520551724;3701667053;4183548189;4105706152;4087337960;4734020037;5115602837;5197332974;4051147228;4600000000;6001153306;5601090584;5843329108;6557333085;7872333215;9531402848;11470703002;12247694247;14393099069;10732366286;13707370737;18525319978;19048495519;18093829923;17098342541;12930394938;11400653732
Bhutan;BTN;299787276;250045840;250794360;235239570;270801565;303053463;316420861;365964500;376955087;419035810;439158233;476360697;537050134;622026108;702682019;818869145;897731525;1196091805;1258332337;1264758198;1585472534;1820207626;1823692110;1798333726;1944782821;2059258653;2212638830
Botswana;BWA;3790567052;3942792837;4146513722;4160086253;4259330999;4730611067;4847752843;5020214747;4790458837;5484257417;5788329609;5489608300;5438857107;7511582173;8957467707;9931134941;10126940513;10939053367;10945070442;10267133178;12786654366;15682926896;14686278707;14915780539;16259445053;14430573505;15581137274
Central African Republic;CAF;1440711396;1377375031;1411917558;1278781167;851174351;1115389732;1007791186;937741468;967338349;999477511;914500299;931833303;991387870;1139754799;1270080251;1350301057;1460562038;1698125618;1985239277;1981728141;1986014846;2212699747;2184183758;1518565219;1702898940;1583776760;1756124677
Canada;CAN;5,9393E+11;6,10328E+11;5,92388E+11;5,77171E+11;5,78139E+11;6,04032E+11;6,28546E+11;6,52825E+11;6,31813E+11;6,76083E+11;7,42293E+11;7,3638E+11;7,57951E+11;8,92381E+11;1,0232E+12;1,16936E+12;1,31542E+12;1,46498E+12;1,54913E+12;1,37115E+12;1,61346E+12;1,78865E+12;1,82429E+12;1,84263E+12;1,79288E+12;1,55281E+12;1,52976E+12
Central Europe and the Baltics;CEB;2,56391E+11;2,42845E+11;2,6007E+11;2,74193E+11;3,11016E+11;3,86484E+11;4,12962E+11;4,09178E+11;4,47675E+11;4,34159E+11;4,27826E+11;4,68434E+11;5,27516E+11;6,34885E+11;7,6301E+11;8,86485E+11;1,00269E+12;1,26202E+12;1,52416E+12;1,28158E+12;1,31382E+12;1,44682E+12;1,35135E+12;1,42242E+12;1,46336E+12;1,28557E+12;1,31216E+12
Switzerland;CHE;2,58067E+11;2,61114E+11;2,71814E+11;2,64353E+11;2,92647E+11;3,42617E+11;3,30092E+11;2,86519E+11;2,95045E+11;2,89912E+11;2,72055E+11;2,78631E+11;3,01417E+11;3,52915E+11;3,94164E+11;4,08689E+11;4,30921E+11;4,79913E+11;5,54363E+11;5,41507E+11;5,83783E+11;6,9958E+11;6,68044E+11;6,88504E+11;7,09183E+11;6,79289E+11;6,68851E+11
Channel Islands;CHI;;;;;;;;;5945677377;6262740657;6439703435;6232906290;6663669065;7332244898;8553643354;8827272727;9676172953;11514605842;;;;;;;;;
Chile;CHL;33113887818;37834793730;45964327559;49297773130;57008425296;73447063319;78039572222;84952360922;81577430181;75173794497;77860932152;70979923960;69736811435;75643459840;99210392858;1,22965E+11;1,54788E+11;1,73606E+11;1,79638E+11;1,72389E+11;2,18538E+11;2,52252E+11;2,67122E+11;2,78384E+11;2,6099E+11;2,42518E+11;2,47028E+11
China;CHN;3,60858E+11;3,83373E+11;4,26916E+11;4,44731E+11;5,64325E+11;7,34548E+11;8,63747E+11;9,61604E+11;1,02904E+12;1,094E+12;1,21135E+12;1,3394E+12;1,47055E+12;1,66029E+12;1,95535E+12;2,28597E+12;2,75213E+12;3,55218E+12;4,59821E+12;5,10995E+12;6,10062E+12;7,57255E+12;8,56055E+12;9,60722E+12;1,04824E+13;1,10647E+13;1,11991E+13
Cote d'Ivoire;CIV;10795850107;10492628915;11152971316;11045759469;8313557450;11000146839;12139234939;11722142706;12612033729;12376639823;10717022463;11192560827;12346919216;15306602560;16554441847;17084928927;17800887796;20343635320;24224903100;24277493862;24884505035;25381616734;27040562587;31273049200;35372603446;33145096414;36372613023
Cameroon;CMR;11151578051;12434370005;11396310990;15498179313;10600157684;9643953175;10513387442;10833497458;10612847429;11198378749;10083937740;10371327756;11579343088;14548845765;17430933517;17944084201;19356046328;22365265026;26409781215;26017925552;26143818510;29337006833;29104437355;32348149947;34942948737;30916218544;32217497470
